Question ID,Row Label,Column Label,Question Text,Status,First Year,Last Year,Description Count
06.c,Development,Nonfederal,Type of R&D conducted,Consistent,20102010,20242024,1
06.c,Development,Total,Type of R&D conducted,Consistent,20102010,20242024,1
06.d,All,Federal,Type of R&D conducted,Consistent,20102010,20242024,1
06.d,All,Nonfederal,Type of R&D conducted,Consistent,20102010,20242024,1
06.d,All,Total,Type of R&D conducted,Consistent,20102010,20242024,1
07.a,Higher education institutions,Federal,Received as a subrecipient,Consistent,20102010,20242024,1
07.a,Higher education institutions,Nonfederal,Received as a subrecipient,Consistent,20102010,20242024,1
07.a,Higher education institutions,Total,Received as a subrecipient,Consistent,20102010,20242024,1
07.b,Business,Federal,Received as a subrecipient,New / Added,20112011,20242024,1
07.b,Business,Nonfederal,Received as a subrecipient,New / Added,20112011,20242024,1
07.b,Business,Total,Received as a subrecipient,New / Added,20112011,20242024,1
07.c,Nonprofit organizations,Federal,Received as a subrecipient,New / Added,20112011,20242024,1
07.c,Nonprofit organizations,Nonfederal,Received as a subrecipient,New / Added,20112011,20242024,1
07.c,Nonprofit organizations,Total,Received as a subrecipient,New / Added,20112011,20242024,1
07.d,Other,Federal,Received as a subrecipient,Consistent,20102010,20242024,1
07.d,Other,Nonfederal,Received as a subrecipient,Consistent,20102010,20242024,1
07.d,Other,Total,Received as a subrecipient,Consistent,20102010,20242024,1
07.e,All,Federal,Received as a subrecipient,Consistent,20102010,20242024,1
07.e,All,Nonfederal,Received as a subrecipient,Consistent,20102010,20242024,1
07.e,All,Total,Received as a subrecipient,Consistent,20102010,20242024,1
08.a,Higher education institutions,Federal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.a,Higher education institutions,Nonfederal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.a,Higher education institutions,Total,Passed through to subrecipients,Consistent,20102010,20242024,1
08.b,Business,Federal,Passed through to subrecipients,New / Added,20112011,20242024,1
08.b,Business,Nonfederal,Passed through to subrecipients,New / Added,20112011,20242024,1
08.b,Business,Total,Passed through to subrecipients,New / Added,20112011,20242024,1
08.c,Nonprofit organizations,Federal,Passed through to subrecipients,New / Added,20112011,20242024,1
08.c,Nonprofit organizations,Nonfederal,Passed through to subrecipients,New / Added,20112011,20242024,1
08.c,Nonprofit organizations,Total,Passed through to subrecipients,New / Added,20112011,20242024,1
08.d,Other,Federal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.d,Other,Nonfederal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.d,Other,Total,Passed through to subrecipients,Consistent,20102010,20242024,1
08.e,All,Federal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.e,All,Nonfederal,Passed through to subrecipients,Consistent,20102010,20242024,1
08.e,All,Total,Passed through to subrecipients,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09A,"Computer and information sciences, all",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B01,"Engineering, aerospace, aeronautical, and astronautical",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B02,"Engineering, bioengineering and biomedical engineering",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B03,"Engineering, chemical",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B04,"Engineering, civil",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B05,"Engineering, electrical, electronic, and communications",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B06,"Engineering, industrial and manufacturing",DOD,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",DOE,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",HHS,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",NASA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",NSF,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",Other agencies,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",Total,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B06,"Engineering, industrial and manufacturing",USDA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09B07,"Engineering, mechanical",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B07,"Engineering, mechanical",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B08,"Engineering, metallurgical and materials",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B09,"Engineering, other",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09B10,"Engineering, all",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C01,"Geosciences, atmospheric sciences, and ocean sciences, atmospheric science and meteorology",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C02,"Geosciences, atmospheric sciences, and ocean sciences, geological and earth sciences",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C03,"Geosciences, atmospheric sciences, and ocean sciences, ocean sciences and marine sciences",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C04,"Geosciences, atmospheric sciences, and ocean sciences, other",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09C05,"Geosciences, atmospheric sciences, and ocean sciences, all",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D01,"Life sciences, agricultural sciences",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D02,"Life sciences, biological and biomedical sciences",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D03,"Life sciences, health sciences",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D04,"Life sciences, natural resources and conservation",DOD,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",DOE,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",HHS,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",NASA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",NSF,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",Other agencies,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",Total,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D04,"Life sciences, natural resources and conservation",USDA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09D05,"Life sciences, other",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D05,"Life sciences, other",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09D06,"Life sciences, all",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09E,"Mathematics and statistics, all",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F01,"Physical sciences, astronomy and astrophysics",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",NASA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",NSF,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",Other agencies,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",Total,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F02,"Physical sciences, chemistry",USDA,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F03,"Physical sciences, materials science",DOD,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",DOE,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",HHS,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",NASA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",NSF,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",Other agencies,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",Total,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F03,"Physical sciences, materials science",USDA,Federal expenditures by field and agency,New / Added,20162016,20242024,1
09F04,"Physical sciences, physics",DOD,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F04,"Physical sciences, physics",DOE,Federal expenditures by field and agency,Consistent,20102010,20242024,1
09F04,"Physical sciences, physics",HHS,Federal expenditures by field and agency,Consistent,20102010,20242024,1
